model,accuracy_seeds,accuracy_ensemble,macro_f1_seeds,macro_f1_ensemble,balanced_accuracy_seeds,balanced_accuracy_ensemble,mcc_seeds,mcc_ensemble,custom_cost_seeds,custom_cost_ensemble
attention__all,0.368+/-0.013,"0.375 [0.296, 0.454]",0.318+/-0.031,"0.315 [0.249, 0.380]",0.356+/-0.014,"0.365 [0.295, 0.435]",0.051+/-0.024,"0.065 [-0.049, 0.182]",1.055+/-0.059,"1.033 [0.862, 1.217]"
attention__no_sentiment,0.388+/-0.013,"0.382 [0.303, 0.461]",0.328+/-0.018,"0.319 [0.255, 0.385]",0.375+/-0.016,"0.367 [0.299, 0.436]",0.085+/-0.028,"0.075 [-0.042, 0.192]",1.022+/-0.023,"1.053 [0.875, 1.230]"
gradient_boosting__all,0.336+/-0.000,"0.336 [0.257, 0.408]",0.294+/-0.000,"0.294 [0.228, 0.362]",0.327+/-0.000,"0.327 [0.261, 0.393]",-0.004+/-0.000,"-0.004 [-0.111, 0.108]",1.072+/-0.000,"1.072 [0.901, 1.244]"
gradient_boosting__no_sentiment,0.401+/-0.000,"0.401 [0.322, 0.480]",0.395+/-0.000,"0.395 [0.318, 0.468]",0.397+/-0.000,"0.397 [0.318, 0.476]",0.102+/-0.000,"0.102 [-0.012, 0.220]",0.967+/-0.000,"0.967 [0.803, 1.132]"
logreg__all,0.362+/-0.000,"0.362 [0.289, 0.441]",0.326+/-0.000,"0.326 [0.257, 0.396]",0.347+/-0.000,"0.347 [0.279, 0.415]",0.034+/-0.000,"0.034 [-0.076, 0.147]",1.059+/-0.000,"1.059 [0.888, 1.243]"
logreg__no_sentiment,0.388+/-0.000,"0.388 [0.316, 0.467]",0.368+/-0.000,"0.368 [0.293, 0.440]",0.378+/-0.000,"0.378 [0.304, 0.452]",0.079+/-0.000,"0.079 [-0.031, 0.195]",1.020+/-0.000,"1.020 [0.849, 1.197]"
lstm__all,0.388+/-0.022,"0.395 [0.316, 0.474]",0.325+/-0.035,"0.322 [0.261, 0.382]",0.377+/-0.022,"0.385 [0.319, 0.452]",0.091+/-0.034,"0.108 [-0.006, 0.221]",1.064+/-0.067,"1.066 [0.888, 1.250]"
lstm__no_sentiment,0.396+/-0.012,"0.388 [0.309, 0.467]",0.332+/-0.023,"0.325 [0.260, 0.391]",0.383+/-0.006,"0.375 [0.307, 0.445]",0.099+/-0.008,"0.086 [-0.027, 0.202]",1.017+/-0.077,"1.033 [0.862, 1.211]"
mlp__all,0.337+/-0.022,"0.368 [0.296, 0.447]",0.316+/-0.026,"0.335 [0.263, 0.406]",0.329+/-0.028,"0.357 [0.289, 0.429]",-0.008+/-0.046,"0.040 [-0.069, 0.152]",1.018+/-0.025,"0.974 [0.816, 1.145]"
mlp__no_sentiment,0.389+/-0.017,"0.414 [0.336, 0.493]",0.377+/-0.019,"0.405 [0.329, 0.478]",0.382+/-0.019,"0.408 [0.330, 0.489]",0.080+/-0.029,"0.119 [0.003, 0.237]",0.992+/-0.031,"0.967 [0.796, 1.151]"
random_forest__all,0.411+/-0.016,"0.414 [0.336, 0.493]",0.407+/-0.017,"0.410 [0.334, 0.484]",0.414+/-0.017,"0.415 [0.334, 0.494]",0.125+/-0.024,"0.129 [0.013, 0.245]",0.947+/-0.039,"0.941 [0.776, 1.105]"
random_forest__no_sentiment,0.396+/-0.012,"0.395 [0.322, 0.467]",0.397+/-0.012,"0.395 [0.318, 0.470]",0.407+/-0.010,"0.403 [0.323, 0.483]",0.106+/-0.014,"0.102 [-0.013, 0.217]",0.922+/-0.035,"0.934 [0.776, 1.099]"
always_neutral,-,"0.421 [0.342, 0.500]",-,"0.198 [0.170, 0.222]",-,"0.333 [0.333, 0.333]",-,"0.000 [0.000, 0.000]",-,"0.579 [0.500, 0.658]"
