threshold,coverage,n_signals,directional_hit_rate,n_up_down_swaps,custom_cost,macro_f1,model
0.3,0.875,133,0.2857142857142857,43,1.236842105263158,0.28137832716145966,attention__all
0.325,0.7302631578947368,111,0.27927927927927926,40,1.1644736842105263,0.3179706827160949,attention__all
0.35,0.5855263157894737,89,0.2696629213483146,34,1.0723684210526316,0.3162027054310519,attention__all
0.375,0.4144736842105263,63,0.2857142857142857,23,0.9078947368421053,0.31639166933284585,attention__all
0.4,0.09868421052631579,15,0.26666666666666666,6,0.6644736842105263,0.2467574079289089,attention__all
0.42500000000000004,0.013157894736842105,2,0.5,1,0.5855263157894737,0.2129823892173692,attention__all
0.45,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.47500000000000003,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.5,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.525,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.55,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.5750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.6000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.625,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.6500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.675,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.7000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.7250000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.75,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.7750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.8,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.8250000000000002,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.8500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.875,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.9,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__all
0.3,0.7894736842105263,120,0.275,43,1.2171052631578947,0.297008547008547,attention__no_sentiment
0.325,0.6776315789473685,103,0.2815533980582524,38,1.125,0.3203291689317029,attention__no_sentiment
0.35,0.5789473684210527,88,0.2727272727272727,34,1.0657894736842106,0.3210039288668321,attention__no_sentiment
0.375,0.40789473684210525,62,0.2903225806451613,23,0.9013157894736842,0.3206317492031778,attention__no_sentiment
0.4,0.21052631578947367,32,0.3125,12,0.7368421052631579,0.29568059107701056,attention__no_sentiment
0.42500000000000004,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.45,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.47500000000000003,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.5,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.525,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.55,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.5750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.6000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.625,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.6500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.675,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.7000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.7250000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.75,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.7750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.8,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.8250000000000002,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.8500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.875,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.9,0.0,0,,0,0.5789473684210527,0.19753086419753085,attention__no_sentiment
0.3,0.7763157894736842,118,0.2711864406779661,37,1.1776315789473684,0.26992588633926023,gradient_boosting__all
0.325,0.7631578947368421,116,0.27586206896551724,36,1.1578947368421053,0.2760119047619048,gradient_boosting__all
0.35,0.7631578947368421,116,0.27586206896551724,36,1.1578947368421053,0.2760119047619048,gradient_boosting__all
0.375,0.75,114,0.2807017543859649,34,1.131578947368421,0.2754099241615111,gradient_boosting__all
0.4,0.7236842105263158,110,0.2909090909090909,33,1.0986842105263157,0.29391178260713896,gradient_boosting__all
0.42500000000000004,0.7171052631578947,109,0.28440366972477066,33,1.105263157894737,0.2823948485476617,gradient_boosting__all
0.45,0.6973684210526315,106,0.29245283018867924,32,1.0789473684210527,0.2937735564601236,gradient_boosting__all
0.47500000000000003,0.6710526315789473,102,0.29411764705882354,30,1.0526315789473684,0.2937474794935759,gradient_boosting__all
0.5,0.6381578947368421,97,0.30927835051546393,29,1.013157894736842,0.31488340950415256,gradient_boosting__all
0.525,0.618421052631579,94,0.30851063829787234,29,1.006578947368421,0.319672131147541,gradient_boosting__all
0.55,0.6052631578947368,92,0.30434782608695654,29,1.006578947368421,0.3120351906158358,gradient_boosting__all
0.5750000000000001,0.5921052631578947,90,0.3111111111111111,28,0.9868421052631579,0.31719283426600503,gradient_boosting__all
0.6000000000000001,0.5789473684210527,88,0.3068181818181818,27,0.9802631578947368,0.3116219008264463,gradient_boosting__all
0.625,0.5460526315789473,83,0.3132530120481928,26,0.9539473684210527,0.32020935529707456,gradient_boosting__all
0.6500000000000001,0.5197368421052632,79,0.2911392405063291,26,0.9671052631578947,0.30758931099133063,gradient_boosting__all
0.675,0.506578947368421,77,0.2987012987012987,26,0.9539473684210527,0.31619286780817935,gradient_boosting__all
0.7000000000000001,0.47368421052631576,72,0.2916666666666667,24,0.9342105263157895,0.3058417508417508,gradient_boosting__all
0.7250000000000001,0.4605263157894737,70,0.3,23,0.9144736842105263,0.31030610519194995,gradient_boosting__all
0.75,0.40789473684210525,62,0.3064516129032258,21,0.875,0.3116955508259856,gradient_boosting__all
0.7750000000000001,0.3881578947368421,59,0.3220338983050847,21,0.8552631578947368,0.32354467618611493,gradient_boosting__all
0.8,0.34868421052631576,53,0.33962264150943394,18,0.8092105263157895,0.3250994092251761,gradient_boosting__all
0.8250000000000002,0.32894736842105265,50,0.36,18,0.7894736842105263,0.33652210388944565,gradient_boosting__all
0.8500000000000001,0.29605263157894735,45,0.4,18,0.756578947368421,0.35691729038860914,gradient_boosting__all
0.875,0.27631578947368424,42,0.38095238095238093,17,0.756578947368421,0.3319400905607802,gradient_boosting__all
0.9,0.23684210526315788,36,0.4166666666666667,13,0.7039473684210527,0.3278893351182508,gradient_boosting__all
0.3,0.7236842105263158,110,0.3181818181818182,32,1.0526315789473684,0.36569836388002425,gradient_boosting__no_sentiment
0.325,0.7171052631578947,109,0.3211009174311927,31,1.0394736842105263,0.36543452506208324,gradient_boosting__no_sentiment
0.35,0.6973684210526315,106,0.330188679245283,31,1.019736842105263,0.38308746269911315,gradient_boosting__no_sentiment
0.375,0.6907894736842105,105,0.3333333333333333,30,1.006578947368421,0.38317308905544206,gradient_boosting__no_sentiment
0.4,0.6842105263157895,104,0.33653846153846156,29,0.993421052631579,0.38330975954738333,gradient_boosting__no_sentiment
0.42500000000000004,0.6776315789473685,103,0.33980582524271846,28,0.9802631578947368,0.3831037381024238,gradient_boosting__no_sentiment
0.45,0.6776315789473685,103,0.33980582524271846,28,0.9802631578947368,0.3831037381024238,gradient_boosting__no_sentiment
0.47500000000000003,0.6644736842105263,101,0.3465346534653465,28,0.9671052631578947,0.3951690821256038,gradient_boosting__no_sentiment
0.5,0.6513157894736842,99,0.35353535353535354,27,0.9473684210526315,0.40047915047915045,gradient_boosting__no_sentiment
0.525,0.6381578947368421,97,0.35051546391752575,26,0.9407894736842105,0.39373450529637144,gradient_boosting__no_sentiment
0.55,0.5986842105263158,91,0.3626373626373626,23,0.8947368421052632,0.39797322623828646,gradient_boosting__no_sentiment
0.5750000000000001,0.5723684210526315,87,0.367816091954023,22,0.875,0.40195437616956115,gradient_boosting__no_sentiment
0.6000000000000001,0.5526315789473685,84,0.35714285714285715,21,0.875,0.38700043917435223,gradient_boosting__no_sentiment
0.625,0.5197368421052632,79,0.379746835443038,19,0.8289473684210527,0.40267955888393847,gradient_boosting__no_sentiment
0.6500000000000001,0.4868421052631579,74,0.3918918918918919,18,0.8026315789473685,0.41075502381896434,gradient_boosting__no_sentiment
0.675,0.47368421052631576,72,0.4027777777777778,18,0.7894736842105263,0.42055555555555557,gradient_boosting__no_sentiment
0.7000000000000001,0.4407894736842105,67,0.40298507462686567,17,0.7763157894736842,0.41423153205405255,gradient_boosting__no_sentiment
0.7250000000000001,0.4144736842105263,63,0.3968253968253968,16,0.7697368421052632,0.40253586506608263,gradient_boosting__no_sentiment
0.75,0.375,57,0.38596491228070173,16,0.7697368421052632,0.3905840071877808,gradient_boosting__no_sentiment
0.7750000000000001,0.375,57,0.38596491228070173,16,0.7697368421052632,0.3905840071877808,gradient_boosting__no_sentiment
0.8,0.34868421052631576,53,0.3584905660377358,16,0.7828947368421053,0.36768817363642653,gradient_boosting__no_sentiment
0.8250000000000002,0.3157894736842105,48,0.375,16,0.7631578947368421,0.37445887445887444,gradient_boosting__no_sentiment
0.8500000000000001,0.27631578947368424,42,0.40476190476190477,14,0.7236842105263158,0.3763731669901924,gradient_boosting__no_sentiment
0.875,0.21710526315789475,33,0.48484848484848486,7,0.631578947368421,0.37241917682844755,gradient_boosting__no_sentiment
0.9,0.20394736842105263,31,0.5161290322580645,7,0.618421052631579,0.38037323037323034,gradient_boosting__no_sentiment
0.3,0.881578947368421,134,0.30597014925373134,39,1.1776315789473684,0.30667512348882353,logreg__all
0.325,0.8092105263157895,123,0.2926829268292683,38,1.1644736842105263,0.3079190385831752,logreg__all
0.35,0.6513157894736842,99,0.3333333333333333,28,0.9802631578947368,0.3575145393327211,logreg__all
0.375,0.4934210526315789,75,0.38666666666666666,20,0.8223684210526315,0.38952124748162903,logreg__all
0.4,0.3881578947368421,59,0.3898305084745763,15,0.7631578947368421,0.36650775931884344,logreg__all
0.42500000000000004,0.27631578947368424,42,0.4523809523809524,8,0.6578947368421053,0.35820185145522476,logreg__all
0.45,0.18421052631578946,28,0.42857142857142855,7,0.6513157894736842,0.3185618042375609,logreg__all
0.47500000000000003,0.125,19,0.47368421052631576,4,0.6118421052631579,0.2885851880775739,logreg__all
0.5,0.07236842105263158,11,0.5454545454545454,2,0.5855263157894737,0.2685494223363286,logreg__all
