model,roc_auc_UP,pr_auc_UP,brier_UP,roc_auc_DOWN,pr_auc_DOWN,brier_DOWN,roc_auc_NEUTRAL,pr_auc_NEUTRAL,brier_NEUTRAL,roc_auc_macro,brier_mean
attention__all,0.571631,0.36109,0.210581,0.482312,0.266591,0.206585,0.582031,0.504639,0.244566,0.545325,0.220577
attention__no_sentiment,0.617021,0.385905,0.208562,0.509778,0.280414,0.205354,0.621804,0.546791,0.239613,0.582868,0.217843
gradient_boosting__all,0.546099,0.412814,0.368661,0.388266,0.221538,0.295742,0.564808,0.438034,0.345528,0.499725,0.336644
gradient_boosting__no_sentiment,0.604458,0.457627,0.274733,0.515271,0.318089,0.310521,0.570135,0.472842,0.344886,0.563288,0.310047
logreg__all,0.627964,0.431703,0.20475,0.515052,0.305443,0.202277,0.587536,0.516691,0.250724,0.57685,0.21925
logreg__no_sentiment,0.617021,0.429225,0.204687,0.522303,0.313741,0.20341,0.599077,0.529137,0.249347,0.579467,0.219148
lstm__all,0.572239,0.365405,0.211143,0.518128,0.30037,0.20345,0.60902,0.533709,0.244645,0.566462,0.219746
lstm__no_sentiment,0.631814,0.396392,0.208687,0.527357,0.315414,0.203068,0.621982,0.549609,0.242216,0.593717,0.21799
mlp__all,0.531104,0.316748,0.324542,0.438805,0.253107,0.272895,0.488281,0.463105,0.357626,0.486063,0.318354
mlp__no_sentiment,0.591692,0.386322,0.228761,0.537904,0.300008,0.234032,0.567827,0.495502,0.271935,0.565807,0.244909
random_forest__all,0.668592,0.457317,0.202704,0.485278,0.288281,0.220357,0.576083,0.5008,0.261071,0.576651,0.228044
random_forest__no_sentiment,0.658561,0.441169,0.207063,0.541419,0.300877,0.237649,0.536044,0.474444,0.284246,0.578675,0.242986
