model,features,n_seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,custom_cost_mean,custom_cost_std,crossover_ratio_mean,n_seeds_always_beat_abstention,n_seeds_never_beat_abstention
always_neutral,-,-,0.421053,,0.197531,,0.333333,,0.000000,,0.578947,,,,
always_up,-,-,0.309211,,0.157454,,0.333333,,0.000000,,1.230263,,,,
class_prior_random,-,-,0.346020,,0.332742,,0.333762,,0.000789,,0.988770,,,,
logreg,all,1,0.361842,0.000000,0.326253,0.000000,0.347126,0.000000,0.034175,0.000000,1.059211,0.000000,0.719,0,0
logreg,no_sentiment,1,0.388158,0.000000,0.368085,0.000000,0.377762,0.000000,0.078689,0.000000,1.019737,0.000000,0.839,0,0
random_forest,all,5,0.410526,0.015899,0.406726,0.017081,0.413716,0.017268,0.125463,0.023733,0.947368,0.038810,0.946,0,0
random_forest,no_sentiment,5,0.396053,0.012059,0.397178,0.011648,0.406748,0.010242,0.105719,0.014220,0.922368,0.034912,0.847,0,0
gradient_boosting,all,1,0.335526,0.000000,0.294350,0.000000,0.327138,0.000000,-0.003824,0.000000,1.072368,0.000000,0.581,0,0
gradient_boosting,no_sentiment,1,0.401316,0.000000,0.395169,0.000000,0.397136,0.000000,0.101918,0.000000,0.967105,0.000000,0.893,0,0
mlp,all,5,0.336842,0.021780,0.315559,0.026150,0.328902,0.028183,-0.007605,0.046226,1.018421,0.024756,0.513,0,0
mlp,no_sentiment,5,0.389474,0.017356,0.376839,0.018767,0.381979,0.018618,0.080051,0.028891,0.992105,0.030970,0.834,0,0
lstm,all,5,0.388158,0.022017,0.325461,0.035025,0.376676,0.021782,0.091165,0.034123,1.064474,0.067401,0.858,0,0
lstm,no_sentiment,5,0.396053,0.012059,0.332001,0.023311,0.383303,0.005736,0.098868,0.008098,1.017105,0.077128,0.884,0,0
attention,all,5,0.368421,0.013158,0.318382,0.030592,0.356092,0.013556,0.051347,0.024490,1.055263,0.059079,0.745,0,0
attention,no_sentiment,5,0.388158,0.013158,0.328208,0.018345,0.375299,0.015845,0.084706,0.027686,1.022368,0.023390,0.838,0,0
